ntdid,year,mode,fares
0044,2010,VP,308403
0044,2011,DR,11317
0044,2011,MB,414634
0044,2011,VP,354477
0044,2012,CB,67130
0044,2012,DR,8118
0044,2012,MB,399051
0044,2012,VP,425780
0044,2013,CB,152964
0044,2013,DR,7478
0044,2013,MB,318008
0044,2013,VP,492806
0044,2014,CB,129635
0044,2014,DR,5601
0044,2014,MB,359291
0044,2014,VP,498647
0044,2015,CB,123823
0044,2015,DR,5678
0044,2015,MB,337201
0044,2015,VP,479466
0045,2006,DR,28312
0045,2006,MB,154779
0045,2007,DR,27586
0045,2007,MB,214900
0045,2008,DR,48935
0045,2008,MB,273294
0045,2009,DR,51394
0045,2009,MB,307754
0045,2010,DR,40597
0045,2010,MB,381079
0045,2011,DR,38699
0045,2011,MB,342376
0045,2012,DR,36227
0045,2012,MB,239388
0045,2013,DR,36351
0045,2013,MB,253234
0045,2014,DR,NA
0045,2014,MB,NA
0045,2015,CB,NA
0045,2015,DR,40568
0045,2015,MB,360009
0046,2006,DR,0
0046,2006,MB,33360
0046,2007,DR,9549
0046,2007,MB,116771
0046,2008,DR,9238
0046,2008,MB,124218
0046,2009,DR,8756
0046,2009,MB,165657
0046,2010,DR,8255
0046,2010,MB,156176
0046,2011,DR,7442
0046,2011,MB,165047
0046,2012,DR,6442
0046,2012,MB,173191
0046,2013,DR,6459
0046,2013,MB,217472
0046,2014,DR,7545
0046,2014,MB,NA
0046,2015,DR,NA
0046,2015,MB,NA
0047,2009,DR,11052
0047,2009,MB,434383
0047,2010,MB,462844
0047,2011,MB,316570
0047,2012,DR,NA
0047,2012,MB,0
0047,2013,DR,NA
0047,2013,MB,0
0047,2014,DR,0
0047,2014,MB,0
0047,2015,DR,0
0047,2015,MB,0
0048,2011,DR,NA
0048,2011,MB,NA
0048,2012,DR,10904
0048,2012,MB,25493
0048,2013,DR,12229
0048,2013,MB,27674
0048,2014,DR,7441
0048,2014,MB,31077
0048,2015,DR,6492
0048,2015,MB,31210
0049,2006,VP,280639
0049,2007,VP,611177
0049,2008,VP,203839
0049,2009,VP,310798
0049,2010,VP,379014
0049,2011,VP,771522
0049,2012,VP,833383
0049,2013,VP,643117
0049,2014,VP,807445
0049,2015,VP,1175529
0050,2007,DR,57843
0050,2007,MB,99937
0050,2008,DR,64221
0050,2008,MB,131679
0050,2009,DR,54425
0050,2009,MB,151217
0050,2010,DR,82725
0050,2010,MB,163009
0050,2011,DR,72117
0050,2011,MB,210335
0051,2011,DR,NA
0051,2011,MB,NA
0051,2012,DR,8184
0051,2012,MB,28286
0051,2012,VP,75136
0051,2013,DR,7144
0051,2013,MB,30058
0051,2013,VP,73817
0051,2014,DR,NA
0051,2014,MB,NA
0051,2014,VP,NA
0051,2015,DR,NA
0051,2015,MB,NA
0051,2015,VP,NA
0052,2009,VP,194405
0052,2010,VP,111908
0052,2011,VP,190825
0052,2012,VP,196290
0053,2009,DR,0
0053,2009,MB,0
0053,2011,DR,NA
0053,2011,MB,NA
0053,2012,DR,0
0053,2012,MB,0
0053,2013,DR,0
0053,2013,MB,0
0053,2014,DR,0
0053,2014,MB,0
0053,2015,DR,0
0053,2015,MB,0
0054,2009,FB,153584
0054,2010,FB,444807
