"","GEOID.msa","name","category","change.total_expenses","change.revenue_miles","change.revenue_hours","change.upt","change.fares","change.average_speed","change.avg_fare"
"277",27180,"Jackson, TN","other",978913,44942,-1246,923,68179,4.25453311938066,1.80663003541907
"278",27260,"Jacksonville, FL","bus",341596,-814448,33141,1438101,10634874,-2.1036425447761,0.887899718848707
"279",27260,"Jacksonville, FL","other",8258421,-1961369,-86786,-151773,-12408632,-1.27586239332627,-22.0724881056273
"280",27260,"Jacksonville, FL",NA,216109,-259604,-19581,-635732,-7346234,NA,NA
"281",27500,"Janesville-Beloit, WI","bus",329722,13694,2040,-210598,-533101,-0.349678600208668,-0.637734020791215
"282",27500,"Janesville-Beloit, WI","other",129785,2810,-414,-784,-1688,3.7599212720958,-0.0163176502583628
"283",27620,"Jefferson City, MO","bus",333164,-75719,-7254,-127175,-343545,1.81772008609069,-0.891287540731824
"284",27620,"Jefferson City, MO","other",828950,10313,1733,1892,-33436,-1.02220075348414,-0.624796785947865
"285",27740,"Johnson City, TN","bus",412529,81684,9082,186094,-111117,-1.37798787151587,-0.259885116076733
"286",27740,"Johnson City, TN","other",1144425,122058,4786,13765,-42769,3.67605062439698,-1.26753008120443
"287",27780,"Johnstown, PA","bus",-141131,380338,17626,-34326,147988,2.36824261030849,0.145811536089172
"288",27780,"Johnstown, PA","other",6598,333883,21827,52148,724234,-0.433708145927037,10.6809467457157
"289",27780,"Johnstown, PA",NA,13805,-82,-32,-65552,-88180,-0.000967713556787153,0.134444090373232
"290",28020,"Kalamazoo-Portage, MI","bus",-34147,-43541,-7466,241,929184,0.487001053287164,0.333875218779138
"291",28020,"Kalamazoo-Portage, MI","other",2136646,707032,18848,40008,33030,6.71403717322321,-0.987012661030417
"292",28100,"Kankakee, IL","bus",1154884,427839,27836,626551,184255,0.401316732804325,-0.170373799425509
"293",28100,"Kankakee, IL","other",647174,20925,827,4392,457,1.82186615799245,-0.217545221716929
"294",28140,"Kansas City, MO-KS","bus",5066413,-1066443,-102939,-720012,1339660,0.608221920964619,0.128669558929173
"295",28140,"Kansas City, MO-KS","other",8543767,3580,31667,-123199,180092,-3.18537020670863,0.802373930862001
"296",28420,"Kennewick-Richland, WA","bus",1004866,-336424,-13978,-494150,576881,-0.74552147885429,0.259465855063033
"297",28420,"Kennewick-Richland, WA","other",11488627,295527,-39561,-94598,1022670,5.96936380589295,0.960192701685689
"298",28740,"Kingston, NY","bus",2810324,-1825128,-23188,-260129,-8767791,-18.3008269443054,-12.4437439639573
"299",28940,"Knoxville, TN","bus",1017209,-159858,-16335,-496931,888782,0.192125010736552,0.357716961480181
"300",28940,"Knoxville, TN","other",4342610,1159241,53581,155159,2078462,3.99868885383503,8.59890938051656
"301",29020,"Kokomo, IN","other",1731026,-385173,-40268,-74550,-301769,1.04500928067704,-1.89326767370522
"302",29100,"La Crosse-Onalaska, WI-MN","bus",231869,51082,1327,39983,183691,0.589065420759839,0.151336720123539
"303",29100,"La Crosse-Onalaska, WI-MN","other",704676,-104681,-10034,-40384,-169553,1.02972573058614,4.46108437666699
"304",29180,"Lafayette, LA","bus",677041,173792,1244,-99620,48938,3.1603190045636,0.052184294306558
"305",29180,"Lafayette, LA","other",674200,28219,8092,-18044,23027,-3.85148720816738,0.942697762580378
"306",29200,"Lafayette-West Lafayette, IN","bus",2684795,250386,10252,627948,1142001,1.0007374438145,0.180344191909247
"307",29200,"Lafayette-West Lafayette, IN","other",425884,46959,3285,10615,60842,1.14891445901225,1.25801637883881
"308",29460,"Lakeland-Winter Haven, FL","bus",78013,-705628,-32150,-536310,-312842,-1.64921658445847,-0.0399713139887753
"309",29460,"Lakeland-Winter Haven, FL","other",7719853,296913,27798,-9499,238046,-1.50207744181475,2.08250723804124
"310",29540,"Lancaster, PA","bus",1251470,-8425,6668,-50244,627283,-0.948844043180481,0.350030023290785
"311",29540,"Lancaster, PA","other",1674445,595930,44545,-63241,12145,-0.421988023210682,0.193049071962684
"312",29620,"Lansing-East Lansing, MI","bus",2666326,336146,19628,1189211,3400361,0.332435637953285,0.27753459716041
"313",29620,"Lansing-East Lansing, MI","other",9990857,-358066,64640,-148045,462633,-5.90024224227717,2.20321075721689
"314",29700,"Laredo, TX","bus",-33980,-82446,-16395,-1078314,566159,0.616684171709668,0.405648986202541
"315",29700,"Laredo, TX","other",2384619,-19898,-2815,-8488,3753,0.220780917349293,0.199802857737501
"316",29740,"Las Cruces, NM","bus",458844,113277,5096,39012,345447,1.3760655242619,0.454956872545506
"317",29740,"Las Cruces, NM","other",734401,37002,5024,5876,-16814,-0.561322473223139,-0.36867540991313
"318",29820,"Las Vegas-Henderson-Paradise, NV","bus",33598646,-2308553,-136511,1520487,24173087,-0.542538887619907,0.375694279007372
"319",29820,"Las Vegas-Henderson-Paradise, NV","other",33897690,3595790,180341,412307,1530612,1.8190646355867,0.816801022785084
"320",30020,"Lawton, OK","bus",547215,13799,2777,129362,-169370,-0.687293506173463,-0.558030272079706
"321",30020,"Lawton, OK","other",350276,54420,7068,13586,-12946,-5.0427796858533,-1.93628477415495
"322",30140,"Lebanon, PA","bus",1048903,-32879,306,75648,104688,-1.47714546157207,0.0964526409742069
