"","GEOID.msa","name","year","mode","total_expenses","revenue_miles","revenue_hours","upt","fares","average_speed","avg_fare","farebox_recovery"
"5691","38860","Portland-South Portland, ME",2014,"DR",5629903,0,0,284856,79982,NA,0.2807805,0.01420664
"5692","38860","Portland-South Portland, ME",2014,"FB",10627940,0,0,962614,2338561,NA,2.429386,0.220039
"5693","38860","Portland-South Portland, ME",2014,"MB",16631336,0,0,1908633,1876643,NA,0.9832393,0.1128378
"5694","38860","Portland-South Portland, ME",2015,"CR",13139398,1751240,62321,438364,7855393,28.10032,17.91979,0.5978503
"5695","38860","Portland-South Portland, ME",2015,"DR",2477225,488972,37324,87069,0,13.10074,0,0
"5696","38860","Portland-South Portland, ME",2015,"FB",4888955,82388,15707,1001702,2474161,5.245305,2.469957,0.5060715
"5697","38860","Portland-South Portland, ME",2015,"MB",6072227,811450,71845,1568136,1738823,11.29445,1.108847,0.2863567
"5698","38900","Portland-Vancouver-Hillsboro, OR-WA",2006,"DR",34224440,7815502,552497,1287990,3586520,14.14578,2.784587,0.1047941
"5699","38900","Portland-Vancouver-Hillsboro, OR-WA",2006,"LR",69990063,3771486,254550,34591510,26149543,14.81629,0.7559526,0.3736179
"5700","38900","Portland-Vancouver-Hillsboro, OR-WA",2006,"MB",226560386,27213056,2055873,71649346,45566797,13.23674,0.6359695,0.2011243
"5701","38900","Portland-Vancouver-Hillsboro, OR-WA",2007,"DR",37175216,9495106,625272,1334573,3742592,15.18556,2.804337,0.1006744
"5702","38900","Portland-Vancouver-Hillsboro, OR-WA",2007,"LR",73656174,3788261,261675,36123810,29337862,14.47697,0.8121475,0.3983083
"5703","38900","Portland-Vancouver-Hillsboro, OR-WA",2007,"MB",233741813,26738259,2100011,69201933,50223345,12.73244,0.7257506,0.2148668
"5704","38900","Portland-Vancouver-Hillsboro, OR-WA",2008,"DR",77553231,9313287,651447,1386267,3823610,14.29631,2.758206,0.04930304
"5705","38900","Portland-Vancouver-Hillsboro, OR-WA",2008,"LR",84120139,3838237,268926,38931646,31495353,14.27247,0.808991,0.3744092
"5706","38900","Portland-Vancouver-Hillsboro, OR-WA",2008,"MB",253960320,27360126,2144756,71375263,53938802,12.75675,0.7557072,0.2123907
"5707","38900","Portland-Vancouver-Hillsboro, OR-WA",2009,"CR",3165285,48096,1484,123634,107831,32.4097,0.8721792,0.03406676
"5708","38900","Portland-Vancouver-Hillsboro, OR-WA",2009,"DR",81180341,9359893,632634,1321246,5399634,14.79512,4.086774,0.06651406
"5709","38900","Portland-Vancouver-Hillsboro, OR-WA",2009,"LR",96777187,3900143,276537,39306691,33868269,14.10351,0.8616413,0.3499613
"5710","38900","Portland-Vancouver-Hillsboro, OR-WA",2009,"MB",262690589,27398869,2179422,74529091,60880978,12.57162,0.8168754,0.2317593
"5711","38900","Portland-Vancouver-Hillsboro, OR-WA",2009,"VP",91524,65864,2141,14086,37348,30.76319,2.651427,0.4080678
"5712","38900","Portland-Vancouver-Hillsboro, OR-WA",2010,"CR",6245998,118207,5424,306228,311656,21.79333,1.017725,0.04989691
"5713","38900","Portland-Vancouver-Hillsboro, OR-WA",2010,"DR",71352560,8074473,574778,1201979,4373139,14.04799,3.638282,0.06128917
"5714","38900","Portland-Vancouver-Hillsboro, OR-WA",2010,"DT",6784264,949495,36288,105776,424965,26.16554,4.017594,0.06263981
"5715","38900","Portland-Vancouver-Hillsboro, OR-WA",2010,"LR",106374746,4211187,305050,42452640,36908552,13.80491,0.8694053,0.3469672
"5716","38900","Portland-Vancouver-Hillsboro, OR-WA",2010,"MB",270998605,25622196,2067927,67114764,61418048,12.39028,0.9151198,0.226636
"5717","38900","Portland-Vancouver-Hillsboro, OR-WA",2010,"VP",94926,78431,2395,17426,46697,32.74781,2.679731,0.4919306
"5718","38900","Portland-Vancouver-Hillsboro, OR-WA",2011,"DR",71320834,7910242,562862,1178021,4671747,14.05361,3.965759,0.06550326
"5719","38900","Portland-Vancouver-Hillsboro, OR-WA",2011,"DT",6956884,936356,35980,111153,488721,26.02435,4.396831,0.07024999
"5720","38900","Portland-Vancouver-Hillsboro, OR-WA",2011,"LR",93399347,3911202,267525,41172344,40843683,14.61995,0.9920174,0.4373016
"5721","38900","Portland-Vancouver-Hillsboro, OR-WA",2011,"MB",256830528,23837119,1928578,65298288,61036688,12.35995,0.9347364,0.2376536
"5722","38900","Portland-Vancouver-Hillsboro, OR-WA",2011,"SR",7695125,199075,35241,3788400,0,5.64896,0,0
"5723","38900","Portland-Vancouver-Hillsboro, OR-WA",2011,"VP",122959,145611,4181,28210,67246,34.82684,2.383765,0.5468977
"5724","38900","Portland-Vancouver-Hillsboro, OR-WA",2011,"YR",6256607,118751,5456,371172,386003,21.76521,1.039957,0.06169526
"5725","38900","Portland-Vancouver-Hillsboro, OR-WA",2012,"DR",80025915,7944012,563131,1181967,4540121,14.10686,3.841157,0.05673313
"5726","38900","Portland-Vancouver-Hillsboro, OR-WA",2012,"DT",7404778,960505,37035,117424,517941,25.93506,4.410861,0.06994686
